2021-05-27 17:47:55.959 | INFO     | __main__:data_preprocess:87 - 对https://www.bilibili.com/video/BV1Ky4y137U8?spm_id_from=333.851.b_7265636f6d6d656e64.1.csv内的弹幕进行处理
2021-05-27 17:47:55.959 | ERROR    | __main__:data_preprocess:105 - 发生错误:[Errno 22] Invalid argument: '../venv/csv/https://www.bilibili.com/video/BV1Ky4y137U8?spm_id_from=333.851.b_7265636f6d6d656e64.1.csv'
2021-05-27 17:48:28.095 | DEBUG    | __main__:get_data:25 - 正在提取视频的bvid
2021-05-27 17:48:28.467 | INFO     | __main__:get_data:47 - 正在爬取https://www.bilibili.com/video/BV1Ky4y137U8?spm_id_from=333.851.b_7265636f6d6d656e64.1的弹幕
2021-05-27 17:48:28.577 | DEBUG    | __main__:parse_html:61 - 弹幕数据处理中
2021-05-27 17:48:28.637 | DEBUG    | __main__:parse_html:67 - 处理完毕
2021-05-27 17:48:28.639 | INFO     | __main__:data_preprocess:82 - 向https://www.bilibili.com/video/BV1Ky4y137U8?spm_id_from=333.851.b_7265636f6d6d656e64.1.csv写入弹幕文件
2021-05-27 17:48:28.642 | ERROR    | __main__:data_preprocess:85 - https://www.bilibili.com/video/BV1Ky4y137U8?spm_id_from=333.851.b_7265636f6d6d656e64.1.csv写入过程发生错误,错误原因: Missing optional dependency 'fsspec'.  Use pip or conda to install fsspec.
2021-05-27 17:48:28.643 | INFO     | __main__:data_preprocess:87 - 对https://www.bilibili.com/video/BV1Ky4y137U8?spm_id_from=333.851.b_7265636f6d6d656e64.1.csv内的弹幕进行处理
2021-05-27 17:48:28.643 | ERROR    | __main__:data_preprocess:105 - 发生错误:[Errno 22] Invalid argument: '../venv/csv/https://www.bilibili.com/video/BV1Ky4y137U8?spm_id_from=333.851.b_7265636f6d6d656e64.1.csv'
2021-05-27 17:49:11.686 | DEBUG    | __main__:get_data:25 - 正在提取视频的bvid
2021-05-27 17:49:21.346 | DEBUG    | __main__:get_data:25 - 正在提取视频的bvid
2021-05-27 17:49:21.674 | INFO     | __main__:get_data:47 - 正在爬取https://www.bilibili.com/video/BV1Ky4y137U8?spm_id_from=333.851.b_7265636f6d6d656e64.1的弹幕
2021-05-27 17:49:21.816 | DEBUG    | __main__:parse_html:61 - 弹幕数据处理中
2021-05-27 17:49:21.868 | DEBUG    | __main__:parse_html:67 - 处理完毕
2021-05-27 17:49:21.871 | INFO     | __main__:data_preprocess:82 - 向https://www.bilibili.com/video/BV1Ky4y137U8?spm_id_from=333.851.b_7265636f6d6d656e64.1.csv写入弹幕文件
2021-05-27 17:49:21.934 | ERROR    | __main__:data_preprocess:85 - https://www.bilibili.com/video/BV1Ky4y137U8?spm_id_from=333.851.b_7265636f6d6d656e64.1.csv写入过程发生错误,错误原因: Protocol not known: ../venv/csv/https
2021-05-27 17:49:21.934 | INFO     | __main__:data_preprocess:87 - 对https://www.bilibili.com/video/BV1Ky4y137U8?spm_id_from=333.851.b_7265636f6d6d656e64.1.csv内的弹幕进行处理
2021-05-27 17:49:21.934 | ERROR    | __main__:data_preprocess:105 - 发生错误:[Errno 22] Invalid argument: '../venv/csv/https://www.bilibili.com/video/BV1Ky4y137U8?spm_id_from=333.851.b_7265636f6d6d656e64.1.csv'
2021-05-27 17:54:26.658 | DEBUG    | __main__:get_data:27 - 正在提取视频的bvid
2021-05-27 17:54:26.983 | INFO     | __main__:get_data:51 - 正在爬取https://www.bilibili.com/video/BV1Ky4y137U8?spm_id_from=333.851.b_7265636f6d6d656e64.1的弹幕
2021-05-27 17:54:27.102 | DEBUG    | __main__:parse_html:65 - 弹幕数据处理中
2021-05-27 17:54:27.155 | DEBUG    | __main__:parse_html:71 - 处理完毕
2021-05-27 17:54:27.158 | INFO     | __main__:data_preprocess:86 - 向343529826.csv写入弹幕文件
2021-05-27 17:54:27.163 | INFO     | __main__:data_preprocess:91 - 对343529826.csv内的弹幕进行处理
